timestamp,resolution,scale,samplerate,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75,x76,y76,z76,x77,y77,z77,x78,y78,z78,x79,y79,z79,x80,y80,z80,x81,y81,z81,x82,y82,z82,x83,y83,z83,x84,y84,z84,x85,y85,z85,x86,y86,z86,x87,y87,z87,x88,y88,z88,x89,y89,z89,x90,y90,z90,x91,y91,z91,x92,y92,z92,x93,y93,z93,x94,y94,z94,x95,y95,z95,x96,y96,z96,x97,y97,z97,x98,y98,z98,x99,y99,z99
1542482580,12,4,10,12,260,448,12,256,448,16,256,436,20,252,448,16,260,440,16,260,444,16,256,444,16,256,440,16,260,440,12,256,444,12,260,444,12,252,444,16,260,444,16,252,440,16,260,448,16,260,444,16,256,448,16,260,444,16,252,444,16,252,448,12,256,444,16,260,452,12,252,444,20,260,440,20,256,448,20,256,444,16,260,448,16,256,444,20,252,436,16,256,436,16,252,440,12,260,444,12,256,444,16,256,440,16,248,444,8,256,448,16,256,444,16,256,444,20,252,444,20,260,444,12,256,444,16,252,444,20,256,448,20,256,440,16,256,444,16,256,444,16,252,448,16,256,444,16,252,440,16,260,444,16,260,448,12,260,448,12,260,448,20,252,444,20,256,440,20,260,444,16,256,444,20,256,440,16,256,448,16,252,448,16,260,444,20,256,448,16,260,444,12,256,440,16,256,440,12,248,444,16,260,448,16,256,440,24,260,444,16,256,444,16,256,444,12,256,448,16,252,444,16,256,452,16,252,444,20,256,440,20,256,448,16,256,448,16,256,444,16,256,440,16,248,444,16,260,440,24,256,444,16,252,444,20,252,452,20,256,440,16,256,448,16,260,448,16,252,440,12,256,444,20,260,444,20,252,448,12,260,444,12,256,444,16,252,444,20,264,440,16,256,436,20,252,444,12,252,440,20,260,444
1542482700,12,4,10,16,260,452,12,256,444,16,252,444,8,256,448,12,256,448,16,260,444,12,252,436,20,256,444,20,260,448,24,260,432,12,260,448,20,256,436,16,256,448,16,256,444,16,256,444,16,252,448,16,252,444,16,252,444,12,256,440,12,252,444,20,252,444,12,256,444,16,256,444,16,256,436,16,252,448,20,256,444,16,260,444,20,260,440,16,256,448,12,256,444,16,256,444,16,256,448,12,256,444,16,256,444,20,260,440,16,252,448,16,256,452,12,260,444,24,256,440,16,256,440,12,256,440,16,256,448,16,252,444,16,260,436,16,248,444,16,252,444,20,248,444,20,252,440,12,256,444,16,264,444,20,256,444,20,256,448,16,256,448,24,256,444,16,256,444,12,256,440,12,252,448,20,264,444,16,260,440,16,256,448,16,260,440,12,260,444,16,252,440,20,248,444,16,256,444,16,256,444,20,256,444,16,252,440,16,252,444,16,256,444,20,252,440,20,256,448,16,260,448,20,256,444,20,256,448,12,256,452,16,256,440,20,252,440,16,252,444,16,260,440,16,264,444,16,256,448,16,260,448,16,252,444,12,256,440,20,256,448,16,252,444,12,256,448,20,256,448,16,252,440,12,256,444,12,256,440,16,256,436,20,256,448,20,256,444,16,252,452,16,252,440,12,252,448,12,256,440,20,256,448
1542482820,12,4,10,16,252,440,20,260,444,16,260,440,12,252,444,16,256,444,16,256,448,24,252,444,20,256,444,16,252,448,12,252,440,16,256,444,16,252,448,20,252,444,16,256,440,16,260,444,12,256,444,16,256,444,12,252,444,12,256,440,16,252,440,16,260,444,12,256,444,16,260,440,12,256,444,16,256,444,16,252,444,16,252,444,16,260,440,16,252,444,16,256,444,16,256,444,16,256,444,16,260,448,12,256,440,16,256,436,16,256,448,16,264,440,16,256,444,16,256,444,12,256,444,12,260,452,24,256,440,20,240,444,4,260,424,16,260,444,0,260,440,20,252,448,16,252,444,20,256,440,16,256,440,12,256,448,16,256,440,16,256,444,20,260,444,16,260,448,12,252,440,16,256,448,20,256,444,16,256,444,20,260,440,12,252,444,24,256,448,16,260,444,20,260,440,20,252,444,20,256,448,16,256,448,16,256,444,16,252,444,16,256,448,12,256,444,16,260,444,20,256,444,16,256,444,12,252,444,12,260,444,20,256,444,16,260,440,16,260,448,16,256,444,12,256,444,12,256,440,12,256,444,16,252,448,12,256,444,12,256,440,16,256,444,16,256,440,20,260,448,16,256,444,16,256,448,20,252,440,20,256,444,12,256,440,20,256,444,12,256,440,16,256,448,16,256,436,16,256,444,16,256,444
1542482940,12,4,10,16,252,436,20,256,444,16,260,440,12,256,448,16,252,448,12,256,440,12,260,448,20,260,440,16,256,444,16,252,444,20,260,444,16,256,444,16,256,440,12,260,448,16,256,448,16,256,444,16,248,444,16,256,444,20,252,452,16,248,432,16,260,440,12,260,440,12,252,448,20,256,444,12,252,444,16,256,444,12,260,440,20,256,440,12,260,444,20,252,444,16,252,444,12,256,440,16,256,440,16,260,436,16,256,444,16,256,444,20,256,448,16,256,436,16,256,440,16,252,444,16,256,440,16,256,440,16,260,444,16,256,448,16,252,448,16,264,444,12,252,440,12,252,448,12,260,444,16,260,448,12,256,444,16,256,448,12,252,444,16,252,444,20,256,444,16,256,440,16,256,440,20,256,440,24,252,448,12,252,448,20,260,440,16,256,440,16,252,448,12,252,444,16,252,440,16,260,444,12,252,448,20,256,448,16,252,444,20,260,440,16,252,444,16,256,444,16,256,452,20,252,452,20,256,448,16,256,432,12,260,440,0,252,440,16,256,444,12,256,440,12,252,440,16,256,440,16,260,444,16,252,436,16,256,444,16,256,444,20,252,444,16,256,436,16,256,440,16,260,444,12,252,440,16,260,440,12,256,444,12,256,440,12,260,440,20,256,448,16,260,448,16,248,444,12,256,448,16,252,444
1542483060,12,4,10,16,256,440,20,248,440,20,252,440,16,252,448,20,256,444,12,256,444,16,256,440,16,256,452,16,256,440,16,260,440,16,256,452,16,252,448,16,256,440,20,256,444,16,256,448,16,256,440,16,252,448,20,260,448,12,256,440,12,256,436,20,252,444,20,252,444,16,256,440,16,260,444,20,256,444,16,252,444,12,252,448,16,260,440,16,252,444,16,252,440,24,256,448,16,260,444,16,248,444,12,252,444,20,260,440,16,256,448,12,256,448,12,256,444,16,256,448,16,252,440,16,256,448,20,252,452,20,260,452,20,260,444,16,260,444,16,256,444,16,256,436,20,256,444,24,252,440,20,256,444,8,252,452,20,252,440,16,256,444,20,256,448,16,260,440,20,248,444,20,260,436,16,256,444,20,252,440,16,256,444,16,256,452,20,260,444,20,252,444,16,256,440,16,256,444,20,256,448,20,256,440,12,260,444,16,256,448,16,256,448,16,260,436,20,252,448,20,256,444,16,256,444,12,256,444,16,256,440,16,256,440,16,260,440,16,256,416,12,256,436,16,256,432,12,256,440,28,252,460,16,256,432,16,252,440,16,256,440,20,260,440,16,260,448,12,260,444,16,252,444,12,248,440,12,256,444,20,256,448,20,252,440,16,260,436,16,256,444,16,252,444,12,256,448,16,252,444,20,252,440
1542483180,12,4,10,12,256,444,16,256,440,12,256,444,20,256,448,20,256,444,20,256,444,16,256,440,16,256,436,16,260,440,12,256,440,12,252,448,16,260,444,20,256,444,16,256,440,20,252,448,24,256,444,16,256,440,16,252,440,12,260,440,20,256,440,20,256,444,16,256,444,16,256,440,16,260,444,16,256,440,24,252,444,16,260,444,16,252,448,16,260,448,20,252,444,20,260,444,12,252,448,12,256,452,16,260,448,16,256,444,20,256,444,16,252,444,20,252,448,16,256,448,12,252,452,16,256,440,12,256,440,20,256,440,20,264,444,16,256,444,16,252,448,20,256,440,16,260,444,16,256,448,20,256,444,20,256,440,20,256,436,16,256,444,16,256,448,12,256,444,16,256,444,20,248,444,16,252,440,16,260,444,16,256,460,16,260,452,24,256,456,20,256,456,0,256,440,20,256,444,12,256,452,20,252,440,20,248,444,20,252,444,16,252,440,16,252,444,20,260,444,16,256,444,16,252,444,12,252,448,16,260,444,16,256,444,12,260,440,12,256,444,16,256,444,20,260,448,16,260,440,20,256,448,12,256,448,12,252,436,12,252,448,16,256,452,16,256,444,16,256,444,20,252,448,20,252,444,16,260,444,16,252,444,16,252,440,16,260,444,16,256,448,20,256,452,16,252,436,20,256,436,16,256,440
1542483300,12,4,10,12,252,444,16,256,440,20,252,444,12,252,448,12,260,448,16,260,448,16,256,448,20,256,452,16,256,444,12,256,448,16,256,440,16,260,444,16,256,440,16,256,444,20,256,440,16,252,448,16,252,448,16,256,448,12,256,440,12,252,444,20,256,444,12,260,444,20,260,444,12,260,452,16,260,440,16,256,444,12,260,444,16,260,440,16,260,444,16,252,440,16,252,444,20,252,448,20,256,436,16,256,444,20,256,444,16,256,444,16,260,444,16,256,448,12,256,444,20,252,444,16,260,440,20,256,444,16,256,444,16,260,436,16,252,448,20,256,440,12,256,448,16,256,444,12,248,440,16,256,444,16,260,440,16,260,444,16,252,444,16,256,444,12,256,436,16,252,440,20,256,440,20,248,444,16,260,444,16,256,440,20,252,444,12,256,444,12,252,448,12,260,444,20,256,440,16,260,444,16,252,440,16,256,444,16,252,444,12,256,448,16,256,440,16,256,452,12,260,444,16,256,444,20,260,444,16,256,448,12,256,444,16,256,444,24,256,448,12,252,444,12,256,440,16,252,444,16,252,448,12,260,440,12,252,444,12,252,436,20,256,448,8,252,444,16,256,440,12,248,448,16,260,448,16,256,440,16,252,448,16,252,448,20,260,444,20,252,440,20,256,440,12,256,448,20,256,444,20,260,448
1542483420,12,4,10,16,256,448,16,256,444,12,260,440,16,260,440,16,256,440,12,256,448,16,252,448,16,248,440,16,260,440,16,260,440,20,252,436,16,260,444,16,252,448,16,252,440,16,256,440,12,256,452,16,256,444,16,256,444,16,260,436,16,260,448,20,252,440,20,256,448,16,256,444,20,256,444,16,252,444,12,256,436,16,252,452,12,252,448,16,256,448,12,256,444,20,252,452,16,252,444,16,252,452,16,252,440,16,256,444,12,256,444,16,256,440,16,248,444,20,256,444,20,252,448,16,256,444,16,260,444,12,256,444,16,256,448,12,260,444,20,256,444,16,252,448,16,260,444,16,256,448,16,252,444,16,256,448,16,256,440,16,256,440,16,256,452,16,260,440,20,252,444,16,252,444,16,256,440,16,256,448,12,256,448,12,256,436,16,256,448,20,256,448,16,260,444,16,256,448,24,252,440,16,260,448,12,252,448,20,256,444,16,256,444,12,252,448,16,256,440,16,260,444,20,256,448,20,264,444,20,260,440,20,256,428,20,260,452,20,252,440,8,260,444,16,252,440,12,252,448,12,256,444,16,252,444,12,252,444,16,256,448,16,256,448,16,264,444,12,260,448,20,256,444,20,256,440,20,256,444,12,260,440,20,260,444,16,256,444,16,256,448,20,256,444,16,256,440,20,256,444,24,256,440
1542483540,12,4,10,16,252,452,20,252,444,16,252,444,16,256,444,16,260,444,20,256,448,16,256,444,12,256,444,16,252,440,16,256,444,12,252,440,12,260,444,16,256,444,12,252,448,12,252,444,16,260,448,12,252,448,16,256,440,16,256,444,12,256,444,20,260,452,12,260,440,16,256,440,16,256,444,16,260,444,16,256,448,20,256,444,12,260,448,12,256,444,20,256,444,16,256,444,8,252,448,24,260,448,16,252,444,12,252,444,12,256,444,12,252,436,12,256,444,16,256,444,20,252,444,16,256,440,16,260,448,16,252,440,16,256,448,12,252,440,16,256,448,16,252,444,16,256,440,20,260,448,12,256,440,16,252,440,12,252,444,16,256,444,16,256,444,16,256,452,16,256,444,12,256,448,16,252,444,20,256,444,12,256,448,16,260,444,16,256,444,20,260,440,16,256,444,20,252,436,16,252,448,12,256,444,16,260,444,12,260,440,16,252,444,12,256,440,20,256,448,16,260,448,16,260,448,16,260,440,24,260,440,12,256,444,12,256,448,16,256,444,16,252,448,12,260,432,16,252,436,12,264,456,16,256,432,12,256,440,20,256,440,24,252,440,16,252,440,16,256,436,16,248,444,16,248,440,20,260,440,16,256,448,12,256,448,12,252,444,16,252,444,12,256,448,16,256,444,16,260,444,16,260,448
1542483660,12,4,10,16,260,448,16,260,448,16,256,440,12,260,444,16,256,440,16,256,440,16,252,444,16,256,448,12,256,444,16,252,444,8,256,444,20,252,440,12,256,448,20,256,444,16,252,444,16,256,444,16,256,448,20,256,436,12,252,440,12,252,444,20,256,448,16,256,440,16,260,448,20,256,444,20,252,440,16,256,444,16,252,444,16,252,440,12,256,440,20,252,448,20,256,444,20,256,448,12,256,444,12,252,440,16,252,444,16,256,444,16,256,444,16,256,444,16,256,440,16,256,444,12,256,440,16,252,440,16,256,448,12,260,440,16,260,444,20,260,440,16,260,444,24,256,444,20,252,444,16,260,440,20,256,436,20,260,444,20,252,440,12,252,448,16,248,440,16,252,440,16,252,448,16,264,440,20,256,436,16,252,444,16,256,448,16,260,440,16,256,440,16,256,444,20,256,444,16,256,436,16,252,476,16,260,444,12,256,440,16,268,428,28,252,460,16,252,440,20,264,440,16,252,444,16,256,440,12,252,444,16,252,444,16,260,444,16,252,436,16,256,444,20,252,440,16,260,440,20,252,444,12,256,448,12,256,436,16,256,444,12,260,444,16,260,444,16,256,448,12,256,440,16,256,440,20,252,448,12,252,444,16,256,444,16,260,444,12,260,440,16,256,444,20,260,444,20,252,444,20,256,448
1542483780,12,4,10,20,252,444,16,260,444,16,256,444,12,252,448,12,252,448,16,248,452,12,252,444,20,256,440,16,256,448,16,256,448,20,256,444,16,252,444,12,252,440,12,244,444,16,252,440,16,256,444,16,252,444,12,256,444,12,252,448,16,256,444,16,252,444,20,252,444,20,252,448,16,256,448,16,260,444,20,256,448,16,252,444,20,256,444,16,256,440,16,256,444,16,260,448,16,252,444,16,260,444,20,260,444,16,260,440,16,252,440,16,256,440,16,256,440,20,256,444,16,256,444,16,256,444,20,256,436,20,252,444,12,260,444,12,260,444,16,256,448,12,256,444,16,260,448,16,260,440,16,256,444,24,256,436,16,252,452,20,252,456,16,240,428,0,256,432,12,256,440,16,256,448,16,256,448,20,260,444,16,260,436,16,256,448,16,252,444,16,260,444,12,256,440,16,252,448,16,256,440,16,256,444,24,256,444,16,256,440,12,256,444,20,260,448,16,252,444,16,256,440,12,248,444,16,256,444,16,260,440,16,256,444,16,256,444,16,252,444,12,256,448,20,252,444,16,260,440,20,256,444,16,256,436,16,252,444,24,252,444,16,256,440,16,252,444,16,252,452,12,252,444,24,252,440,16,260,440,16,256,440,16,260,440,12,252,444,16,256,440,16,260,444,16,260,444,16,256,444,12,260,448
1542483900,12,4,10,16,256,440,16,256,448,16,252,444,16,256,444,16,260,440,20,252,440,12,256,444,8,252,440,12,256,444,20,252,440,12,252,440,20,256,440,16,256,452,16,256,448,20,256,440,16,256,444,16,256,440,16,256,444,16,256,440,24,256,448,16,264,444,16,256,444,16,252,440,16,260,448,16,260,440,16,256,444,16,256,444,16,260,436,12,256,444,16,256,444,16,256,440,16,260,444,20,256,448,16,256,444,16,252,440,16,252,444,12,248,444,16,256,444,16,256,448,12,252,444,16,256,448,12,256,440,12,256,440,16,252,444,16,260,436,12,252,444,20,256,452,8,252,428,24,256,460,24,268,452,16,252,452,16,256,448,16,252,440,16,252,444,20,256,444,16,260,444,16,252,448,16,260,448,16,252,444,16,252,444,12,256,444,16,252,444,16,256,448,20,256,444,16,256,448,16,256,440,20,256,444,12,260,444,16,256,444,12,256,444,16,256,440,16,256,448,24,252,452,12,260,444,20,260,444,16,256,440,12,256,440,12,264,440,16,260,444,16,248,440,16,256,452,16,260,448,16,256,436,16,248,448,16,264,448,20,260,440,20,256,444,16,256,448,20,260,452,20,256,452,16,252,440,20,248,440,16,252,440,16,252,448,16,256,448,16,252,444,16,260,440,16,252,444,16,252,448,20,252,444
1542484020,12,4,10,12,256,440,20,252,440,12,260,448,16,256,444,12,260,444,20,256,444,16,256,444,16,252,448,16,256,444,16,256,448,16,252,448,16,252,448,20,256,440,16,256,440,16,248,448,16,256,444,12,256,444,16,256,440,16,256,444,16,260,440,16,256,448,16,256,444,20,256,444,20,260,444,16,256,444,16,252,444,16,256,440,12,260,452,16,256,440,16,260,440,16,256,444,16,256,448,16,252,440,20,252,444,16,256,448,16,256,440,20,256,444,16,260,436,20,252,448,12,252,444,16,256,448,16,256,448,16,256,432,20,240,452,16,256,452,20,252,448,12,256,448,20,260,444,20,252,440,20,256,448,12,248,448,16,252,448,16,256,444,20,260,440,16,252,440,16,252,444,16,252,440,24,252,448,12,256,440,24,256,440,16,248,444,12,256,444,20,260,444,16,252,444,20,260,440,16,252,440,20,260,436,16,256,444,12,252,444,16,252,440,16,256,448,12,252,448,16,252,440,12,256,448,16,256,444,16,256,444,16,252,444,20,252,444,16,256,444,12,260,448,20,252,444,12,252,448,16,256,440,20,256,440,12,256,440,12,260,444,16,256,444,16,260,448,16,256,448,20,252,440,16,252,444,16,256,440,16,252,444,16,260,444,20,252,444,16,256,444,16,256,448,16,256,444,12,256,444,16,260,444
1542484140,12,4,10,16,256,448,12,256,436,12,260,444,20,256,448,20,256,448,20,252,444,12,256,448,16,256,444,16,256,444,20,260,444,20,256,448,16,252,444,16,252,444,12,252,440,20,256,444,12,256,444,16,260,444,20,260,444,20,256,436,16,252,436,16,252,444,16,256,440,16,260,444,12,256,444,12,252,444,20,268,444,16,256,448,24,252,444,16,256,436,16,252,440,12,252,444,16,256,448,16,252,444,16,260,448,16,260,444,16,260,444,16,256,440,20,256,436,16,260,444,16,256,444,16,252,444,16,252,444,8,256,440,16,260,444,16,256,444,16,260,444,20,260,444,16,256,440,20,256,444,16,256,444,16,260,444,12,256,440,12,256,440,16,252,448,16,256,448,16,252,440,16,260,444,20,252,440,12,256,444,16,256,440,16,252,444,16,256,452,16,256,440,20,256,452,16,252,444,16,260,448,12,260,440,16,256,440,20,256,440,16,240,448,20,252,432,16,268,424,12,252,448,16,252,444,20,260,440,16,252,444,16,248,440,16,260,440,16,256,436,16,256,444,20,256,440,20,260,444,16,256,444,16,256,444,12,256,448,16,260,444,16,256,444,20,256,444,16,252,444,16,256,444,16,256,440,16,256,444,16,252,448,16,256,440,20,260,448,16,252,440,16,256,440,16,256,444,16,248,444,12,256,440
1542484260,12,4,10,12,260,452,16,256,440,16,256,448,20,256,444,20,256,444,12,252,452,12,256,448,16,256,444,16,260,444,16,256,440,12,260,440,16,256,448,12,260,444,20,260,444,16,256,448,20,252,440,16,264,440,12,260,448,12,260,448,20,260,444,12,256,452,20,252,448,12,256,444,20,256,444,16,256,440,16,256,448,16,256,440,12,260,444,16,252,440,16,256,440,20,256,444,12,256,448,16,256,444,12,256,448,20,260,448,16,260,444,12,260,448,16,256,448,20,256,444,16,260,444,16,260,448,20,260,444,16,260,448,16,256,444,20,256,448,16,260,448,16,256,444,16,256,444,8,264,440,16,252,444,20,252,444,12,256,440,16,252,444,20,256,448,16,256,448,12,252,440,16,256,440,16,252,448,16,252,448,12,256,440,16,256,444,16,252,444,16,252,444,16,256,444,20,252,440,20,248,448,12,256,440,16,256,444,16,252,448,16,260,444,16,256,440,20,252,444,16,256,452,16,252,444,12,260,440,16,256,444,16,248,444,16,256,444,20,256,436,16,252,440,12,256,444,16,260,424,28,260,452,20,256,440,16,256,436,20,256,448,16,260,444,16,260,444,16,252,448,16,256,448,16,260,448,12,252,436,16,260,444,16,252,444,12,260,444,20,256,448,20,252,444,16,256,440,16,256,444,20,256,444
1542484380,12,4,10,16,256,444,16,256,444,12,256,444,20,256,444,16,256,440,16,256,444,16,256,444,12,256,440,20,256,444,20,252,440,16,256,448,16,248,452,20,252,444,12,260,440,12,260,444,16,256,448,16,256,444,16,260,448,20,252,444,16,256,440,12,260,440,8,264,444,12,252,440,16,256,440,16,252,448,16,252,444,20,256,448,20,252,440,16,260,448,16,256,448,16,256,448,12,252,444,12,256,444,16,252,440,16,260,440,12,256,448,16,256,444,12,256,448,16,252,448,20,256,448,16,252,448,20,260,444,16,256,440,16,252,444,20,256,448,16,256,444,16,256,444,20,260,444,16,260,444,16,260,444,12,252,440,16,256,440,20,252,444,16,252,440,16,256,444,16,264,440,12,256,448,16,252,444,12,256,444,12,260,440,20,256,444,20,256,440,16,260,440,20,256,444,20,256,444,16,256,440,12,260,444,16,252,440,12,256,448,16,256,444,16,260,440,12,256,444,20,260,428,20,260,460,12,268,448,16,260,448,16,256,444,20,256,444,20,252,448,20,256,444,16,260,448,16,252,444,16,252,440,16,252,444,16,252,444,20,256,440,20,256,448,16,256,440,16,256,440,16,256,448,16,256,452,16,260,444,20,256,444,20,260,440,16,252,444,16,256,444,24,260,440,8,256,440,16,256,444,16,256,444
1542484500,12,4,10,20,256,444,20,252,444,16,264,444,16,256,452,12,252,448,20,252,444,16,252,448,16,260,444,20,248,444,20,256,444,20,252,444,12,252,444,20,256,444,12,248,448,20,256,444,16,256,440,12,256,452,16,252,444,16,260,440,16,252,444,12,256,448,16,252,444,16,260,444,16,256,444,16,248,444,16,260,448,12,256,448,12,256,440,20,248,444,16,260,444,20,248,444,16,256,444,16,256,444,16,256,440,16,256,444,20,256,444,16,260,444,12,256,440,16,256,440,20,252,444,16,256,444,16,256,448,20,256,440,16,256,440,16,256,444,20,252,448,12,256,444,16,252,444,16,256,444,16,256,440,20,256,444,20,252,440,16,256,440,16,252,440,16,256,448,20,252,440,12,256,444,16,252,440,20,256,448,12,264,444,12,256,444,12,260,444,16,260,440,12,256,440,16,260,448,16,256,440,16,252,444,12,252,440,20,252,444,20,256,444,16,256,436,16,256,444,20,252,444,24,252,444,12,256,440,16,252,440,20,252,448,16,256,444,20,252,444,16,252,440,16,260,440,20,248,440,16,256,444,16,252,448,12,260,444,16,256,440,16,256,440,16,252,444,16,252,440,16,260,448,16,256,436,16,256,440,16,256,444,20,252,444,16,256,444,16,252,448,16,260,440,16,248,440,16,256,444,16,256,444
1542484620,12,4,10,16,264,448,16,256,448,16,260,452,20,256,452,12,256,444,16,260,448,20,260,440,16,252,440,16,256,448,16,256,444,20,256,440,12,252,444,16,256,440,16,260,440,16,256,440,20,252,444,16,252,444,16,260,448,24,252,440,16,256,440,16,264,444,20,256,444,20,260,444,20,260,444,16,252,440,16,260,448,16,248,440,16,252,444,16,256,440,16,256,444,16,252,444,16,256,440,16,256,444,16,260,444,16,256,444,16,256,448,20,256,444,12,252,444,16,256,444,16,256,440,20,260,440,20,252,444,16,256,444,16,260,448,16,256,448,20,256,444,20,260,444,16,256,448,16,252,444,16,260,452,20,252,448,20,256,444,16,256,444,20,264,444,12,260,440,16,256,440,20,256,440,16,260,440,12,252,444,16,256,448,20,260,440,16,256,444,20,260,444,16,252,444,16,252,448,16,260,448,20,252,444,16,252,436,20,256,440,12,248,440,20,252,436,16,252,444,12,260,444,16,252,448,20,256,440,16,260,440,16,252,444,16,252,440,16,256,448,12,256,440,16,256,460,16,252,440,12,256,456,16,256,440,16,252,460,20,252,452,16,256,440,12,252,440,20,260,436,20,252,448,20,252,444,20,256,444,16,260,448,16,252,444,16,256,440,16,256,444,16,256,444,12,260,448,20,248,444,16,256,440
1542484740,12,4,10,12,252,444,20,256,444,16,252,448,20,260,440,12,256,444,20,252,444,16,256,444,20,260,444,20,252,448,12,248,440,16,248,448,20,256,444,16,256,448,20,260,444,20,256,444,16,252,444,16,256,444,12,256,444,16,256,440,16,256,444,20,260,440,16,256,444,16,256,444,16,256,436,20,256,440,16,256,448,16,252,440,20,256,444,12,256,440,8,260,444,20,260,448,16,256,444,16,256,440,16,248,444,20,256,448,20,256,444,16,256,444,16,256,440,12,256,444,16,256,440,16,252,444,16,256,440,20,256,440,16,260,448,20,252,440,16,256,444,12,248,448,16,252,444,12,252,444,16,248,444,16,256,444,16,260,444,12,252,444,12,256,444,16,260,440,12,252,440,16,260,444,12,256,448,16,256,444,16,256,444,16,256,440,20,256,444,16,260,444,16,256,440,16,256,440,12,256,444,16,260,444,16,256,444,20,256,436,16,256,436,20,256,444,20,260,448,16,252,448,16,256,444,16,256,444,12,256,436,20,252,440,12,256,444,28,256,432,20,256,440,20,252,452,16,260,448,16,248,448,16,256,448,16,256,448,16,252,448,20,252,436,20,252,444,16,256,444,16,256,444,20,256,448,16,260,444,16,256,440,20,256,444,16,252,448,16,252,448,16,260,444,16,256,448,20,256,448,16,256,448
1542484860,12,4,10,16,260,448,16,248,448,16,256,444,16,256,444,12,260,444,12,256,444,20,252,440,12,256,448,16,256,448,16,256,444,8,260,448,16,252,444,12,256,444,16,256,440,16,260,444,20,252,444,12,252,444,20,260,448,16,256,436,8,256,444,16,260,440,16,252,448,20,256,444,16,256,440,12,252,440,16,252,448,16,260,444,16,260,448,16,256,444,12,256,440,16,252,440,16,256,440,16,252,448,16,256,444,12,256,444,16,256,444,16,252,440,12,260,444,16,256,444,20,260,452,16,260,444,16,252,444,16,256,440,24,252,448,12,248,448,12,252,440,16,252,444,16,252,440,16,260,444,12,256,440,20,256,436,12,256,452,16,256,440,16,260,448,16,256,444,20,252,444,16,260,436,16,252,448,20,256,440,12,252,448,16,256,440,16,260,444,20,252,440,12,256,448,24,256,452,16,256,440,12,256,452,16,252,444,16,256,448,16,252,444,16,256,444,16,256,444,16,252,444,20,252,444,16,256,448,20,252,444,16,260,444,12,256,444,20,260,440,16,256,444,20,256,448,16,252,448,12,256,444,16,252,436,12,256,440,16,256,448,16,256,444,12,256,444,12,260,444,16,252,452,12,256,444,16,256,444,12,252,452,16,256,440,24,252,452,16,256,424,20,256,440,16,256,440,12,252,448,16,248,448
